month_year,chemical_name,iso,price_units,value_units,mass_units,mass_import,mass_export,mass_total,fraction_import,value_import,value_export,value_total,price_total,trade_balance,price_premium,price_transport,price_adjusted,year,month
2023-12,potassium sulphate,CAN,$/tonne,$,tonne,670.999,1243.231,1914.23,0.35053206772435913,602209.8470000001,1241832.007,1844041.854,963.3334834372046,balanced,96.33334834372046,15.0,1074.6668317809251,2023,12
2023-12,potassium sulphate,CHN,$/tonne,$,tonne,877.802,7327.0,8204.802,0.10698637212695689,560585.0,4277938.0,4838523.0,589.7184356185561,balanced,58.971843561855614,15.0,663.6902791804117,2023,12
2023-12,potassium sulphate,DEU,$/tonne,$,tonne,713.770264,0.0,713.770264,1.0,428519.40599999996,0.0,428519.40599999996,600.3604067204458,import,60.03604067204458,15.0,675.3964473924904,2023,12
2023-12,potassium sulphate,FRA,$/tonne,$,tonne,3501.545,40.467406,3542.0124060000003,0.9885750242061687,2761835.9000000004,16293.523000000001,2778129.4230000004,784.3364462230514,import,78.43364462230515,15.0,877.7700908453565,2023,12
2023-12,potassium sulphate,GBR,$/tonne,$,tonne,151.152,221.278,372.42999999999995,0.4058534489702763,215539.288,55313.83799999999,270853.126,727.2591520554199,balanced,72.725915205542,15.0,814.985067260962,2023,12
2023-12,potassium sulphate,IND,$/tonne,$,tonne,3563.025,420.547,3983.572,0.8944296726656378,2119152.5,223118.084,2342270.584,587.9824900867864,balanced,58.79824900867864,15.0,661.780739095465,2023,12
2023-12,potassium sulphate,SWE,$/tonne,$,tonne,22.183333,20439.0,20461.183333,0.0010841666700782892,11774.141000000001,9089831.425999999,9101605.567,444.823029972115,export,44.482302997211505,15.0,504.3053329693265,2023,12
2023-12,potassium sulphate,TUR,$/tonne,$,tonne,1258.68,1582.594,2841.2740000000003,0.44299845773410096,719270.0,1008278.0,1727548.0,608.018797201537,balanced,60.80187972015371,15.0,683.8206769216907,2023,12
2023-12,potassium sulphate,USA,$/tonne,$,tonne,1718.0,1162.0,2880.0,0.5965277777777778,1785072.0,1054687.0,2839759.0,986.0274305555556,balanced,98.60274305555556,15.0,1099.630173611111,2023,12
2023-12,sodium_hydroxide,CAN,$/tonne,$,tonne,661.6039999999999,0.0,661.6039999999999,1.0,535080.722,0.0,535080.722,808.7628279151879,import,80.8762827915188,15.0,904.6391107067068,2023,12
2023-12,sodium_hydroxide,CHN,$/tonne,$,tonne,451.52573100000006,41705.001,42156.526731,0.010710695733573528,619809.0,21097918.0,21717727.0,515.1687931641145,export,51.516879316411455,15.0,581.6856724805259,2023,12
2023-12,sodium_hydroxide,DEU,$/tonne,$,tonne,531.557,0.0,531.557,1.0,632342.162,0.0,632342.162,1189.603677498368,import,118.96036774983679,15.0,1323.5640452482048,2023,12
2023-12,sodium_hydroxide,FRA,$/tonne,$,tonne,611.185,2695.697,3306.882,0.18482213759063673,903599.2070000002,1835977.023,2739576.2300000004,828.4469267424723,balanced,82.84469267424724,15.0,926.2916194167195,2023,12
2023-12,sodium_hydroxide,GBR,$/tonne,$,tonne,744.1110000000001,0.0,744.1110000000001,1.0,879981.6079999999,0.0,879981.6079999999,1182.5945430184472,import,118.25945430184473,15.0,1315.853997320292,2023,12
2023-12,sodium_hydroxide,IND,$/tonne,$,tonne,440.27272,33250.098256000005,33690.370976000006,0.013068206352302766,221933.04599999997,15351286.640999999,15573219.686999999,462.2454201556251,export,46.22454201556251,15.0,523.4699621711876,2023,12
2023-12,sodium_hydroxide,SWE,$/tonne,$,tonne,132.889546,0.0,132.889546,1.0,157345.337,0.0,157345.337,1184.030962074323,import,118.40309620743231,15.0,1317.4340582817554,2023,12
2023-12,sodium_hydroxide,TUR,$/tonne,$,tonne,3146.3190000000004,1937.5159999999998,5083.835,0.6188869229626848,1585701.9999999998,1054012.0,2639714.0,519.23675729051,balanced,51.923675729051006,15.0,586.160433019561,2023,12
