date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,FRA,POL,2.0525671059232344,326916.0,671017.028,326916.0,kg,8,4,326916.0,kg,8,671017.028,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,326916.0,0,World,W00,616,Poland,POL,202401,671017.028,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,POL,1.6210043706580006,274787.0,445430.928,274787.0,kg,8,4,274787.0,kg,8,445430.928,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,274787.0,0,World,W00,616,Poland,POL,202402,445430.928,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,JPN,1.967571321714414,80214.0,157826.766,80214.0,kg,8,4,80214.0,kg,8,157826.766,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,80214.0,0,World,W00,392,Japan,JPN,202401,157826.766,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,JPN,7.417182165968334,252.506,1872.883,252.506,kg,8,4,0.0,N/A,-1,1872.883,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,252.506,0,World,W00,392,Japan,JPN,202402,1872.883,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,BEL,0.4783305324294568,3233480.0,1546672.21,3233480.0,kg,8,4,3233480.0,kg,8,1546672.21,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,3233480.0,0,World,W00,56,Belgium,BEL,202401,1546672.21,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,BEL,0.38712123655479175,2473000.0,957350.818,2473000.0,kg,8,4,2473000.0,kg,8,957350.818,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,2473000.0,0,World,W00,56,Belgium,BEL,202402,957350.818,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,FIN,0.4123741033666046,472880.0,195003.466,472880.0,kg,8,4,472880.0,kg,8,195003.466,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,472880.0,0,World,W00,246,Finland,FIN,202401,195003.466,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,FIN,0.46478585689837826,245420.0,114067.745,245420.0,kg,8,4,245420.0,kg,8,114067.745,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,245420.0,0,World,W00,246,Finland,FIN,202402,114067.745,kg,8,2,20240201,2024,251,France,FRA,C,import
2024-01-01,FRA,THA,16.09448275862069,29.0,466.74,29.0,kg,8,4,29.0,kg,8,466.74,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,29.0,0,World,W00,764,Thailand,THA,202401,466.74,kg,8,1,20240101,2024,251,France,FRA,C,import
2024-02-01,FRA,THA,15.321516129032258,31.0,474.967,31.0,kg,8,4,31.0,kg,8,474.967,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,31.0,0,World,W00,764,Thailand,THA,202402,474.967,kg,8,2,20240201,2024,251,France,FRA,C,import
