Year,Customer Size,country,value,units,exchange_country,exchange_rate,exchange_units,usd_per_kwh
2016,Small,Lithuania,7.102199283775732,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.05262729669277818
2017,Small,Lithuania,6.9692573485450495,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.05412077151318478
2018,Small,Lithuania,7.516652065619624,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.05635563282955506
2019,Small,Lithuania,8.340917374241062,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.06536017088619928
2020,Small,Lithuania,8.888240166878207,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.07897427024948592
2021,Small,Lithuania,10.86697194237852,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.09342945499195356
2022,Small,Lithuania,21.297192751488023,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.18169137714722838
2023,Small,Lithuania,17.75478084763811,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.14289643891040088
2008,Medium,Lithuania,5.596030175,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.030538465605984052
2009,Medium,Lithuania,6.446383574630542,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.04134280450983601
2010,Medium,Lithuania,8.033301434953774,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.05201295170194785
2011,Medium,Lithuania,8.851755071179745,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.05521872637711614
2012,Medium,Lithuania,8.687792857162151,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.0548257676865289
2013,Medium,Lithuania,7.529125051520864,pence_per_kwh,USA,1.5625,pound_per_currency,0.04818640032973352
2014,Medium,Lithuania,7.74448501413271,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.047009024035785545
2015,Medium,Lithuania,5.346601683573363,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.034966775010569794
2016,Medium,Lithuania,5.381762344733623,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.03987885897447615
2017,Medium,Lithuania,5.31664296412826,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.04128715653452484
2018,Medium,Lithuania,5.737888033184916,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.04301945977974585
2019,Medium,Lithuania,6.607498979882811,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.05177695007377092
2020,Medium,Lithuania,6.569205712319732,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.05836906041113663
2021,Medium,Lithuania,8.456996578279114,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.07270954460608395
2022,Medium,Lithuania,16.46250558417751,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.14044552001691224
2023,Medium,Lithuania,13.311838872165833,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.10713814980344255
2008,Large,Lithuania,5.292280316666667,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.02888085220658257
2009,Large,Lithuania,6.072332413844139,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,0.03894388985667627
2010,Large,Lithuania,7.232272539656859,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,0.046826556347522454
2011,Large,Lithuania,9.200782991727337,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,0.057396020833154746
2012,Large,Lithuania,9.413289370927556,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,0.05940413459456329
2013,Large,Lithuania,8.17164876026775,pence_per_kwh,USA,1.5625,pound_per_currency,0.052298552065713606
2014,Large,Lithuania,7.7760616378502565,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,0.04720069414175106
2015,Large,Lithuania,4.874491586283039,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.031879174974291075
2016,Large,Lithuania,4.805015155791168,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.035605162304412546
2017,Large,Lithuania,4.728951163599762,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.03672335122990151
2018,Large,Lithuania,5.145886168001856,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.0385809624996515
2019,Large,Lithuania,5.791314684642552,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.04538125729586598
2020,Large,Lithuania,6.062098101398989,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.053863280553874744
2021,Large,Lithuania,6.816001568306277,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.05860098978149864
2022,Large,Lithuania,18.456068929718,pence_per_kwh,USA,1.172163097989535,pound_per_currency,0.15745307936560526
2023,Large,Lithuania,11.773976483819586,pence_per_kwh,USA,1.242492883868907,pound_per_currency,0.09476091683646082
2008,Very Large,Lithuania,4.8841905,pence_per_kwh,USA,1.8324529618486958,pound_per_currency,0.026653838334123
2009,Very Large,Lithuania,,pence_per_kwh,USA,1.5592516402937444,pound_per_currency,
2010,Very Large,Lithuania,,pence_per_kwh,USA,1.5444809748516797,pound_per_currency,
2011,Very Large,Lithuania,,pence_per_kwh,USA,1.6030349940936175,pound_per_currency,
2012,Very Large,Lithuania,,pence_per_kwh,USA,1.5846185514146127,pound_per_currency,
2013,Very Large,Lithuania,,pence_per_kwh,USA,1.5625,pound_per_currency,
2014,Very Large,Lithuania,,pence_per_kwh,USA,1.6474464579901154,pound_per_currency,
2015,Very Large,Lithuania,4.601034112035716,pence_per_kwh,USA,1.529051987767584,pound_per_currency,0.03009076309271358
2016,Very Large,Lithuania,4.581768970677356,pence_per_kwh,USA,1.349527665317139,pound_per_currency,0.03395090807271921
2017,Very Large,Lithuania,4.6269381859686876,pence_per_kwh,USA,1.2877232075021723,pound_per_currency,0.035931154762238626
2018,Very Large,Lithuania,4.755550837747547,pence_per_kwh,USA,1.3337889556405802,pound_per_currency,0.03565444756186029
2019,Very Large,Lithuania,6.228295744918872,pence_per_kwh,USA,1.2761468125234412,pound_per_currency,0.048805479775505575
2020,Very Large,Lithuania,6.0655381528116,pence_per_kwh,USA,1.125460246584053,pound_per_currency,0.053893846283966505
2021,Very Large,Lithuania,7.290128957078566,pence_per_kwh,USA,1.1631205537177134,pound_per_currency,0.06267732896454226
